event|masa|paksha|id|tithi|ru|en
navadvip_parikrama_starts|govinda|G|1|ekadashi|<strong>&nbsp;начинается</strong>|<strong>&nbsp;begins</strong>
sri_gaura_purnima|govinda|G|2|purnima|<strong>&#32;Явление Шри Гауранги Махапрабху</strong>|<strong>&#32;Divine appearance of Sri Gauranga</strong>
sri_lakshmi_vijaya|vaman|G|3|panchami|&#32;(в день праздника в Шри Пури Дхаме)|&#32;(observed the following day in Sri Puri Dham)
chaturmasya_start|vaman|G|4|purnima|&#32;(когда врата начинается в Пурниму, как принято в ШЧСМ)|&#32;(when started on Purnima as followed in Sri Chaitanya Saraswat Math)
jhulan_yatra_start|shridhar|G|5|ekadashi|&#32;и начало ежемесячного фестиваля Шри Хари Смараны в Навадвипе, ШЧСМ|&#32;and start of the one month festival of Sri Hari Smaran at Nabadwip, Sri Chaitanya Saraswat Math
sri_lalita_devi_appearance|hrishikesh|G|6|saptami|.&#32;Явление Шри Лалиты Деви|.&#32;Appearance of Sri Lalita Devi
sri_radha_appearance|hrishikesh|G|7|ashtami|.&#32;Явление Шримати Радхарани в полдень|.&#32;Srimati Radharani's appearance at noon
vishvarup_mahotsav|hrishikesh|G|8|purnima|.&#32;Завершение ежемесячного фестиваля в Навадвипе|.&#32;End of month-long festival at Nabadwip, Sri Chaitanya Saraswat Math
kartik_vrata_start|padmanabha|G|9|purnima|&#32;если <em>врата</em> начата в Пурниму, как это принято в Шри Чайтанья Сарасват Матхе|&#32;if begun from the purnima day, as followed in Sri Chaitanya Saraswat Math
bamunpara|narayana|K|10|tritiya|&#32;и Надан Гхатe|&#32;and Nadan Ghat
sri_sri_siva_ratri|govinda|K|11|chaturdashi|&#32;(пост по желанию)|&#32;(optional fast)